paper,sample,museum,locale,genbank,species,OTU,morphology,LAT,LON
Leavitt 2007,34,RLB5693,"USA: California, Los Angeles Co.; Lockwood Valley; N 34.8, W 119.0333",EU129746,X. vigilis,vigilis_KCAV,plants,34.8,-119.0333
Leavitt 2007,34,RLB5694,"USA: California, Los Angeles Co.; Lockwood Valley; N 34.8, W 119.0333",EU129747,X. vigilis,vigilis_KCAV,plants,34.8,-119.0333
Leavitt 2007,70,RLB5423,"USA: Arizona, Mohave Co.; Willow Creek; N 35.1667, W 113.5333",EU129598,X. vigilis,vigilis_EM,rocks,35.1667,-113.5333
Leavitt 2007,70,RLB5424,"USA: Arizona, Mohave Co.; Willow Creek; N 35.1667, W 113.5333",EU129599,X. vigilis,vigilis_EM,rocks,35.1667,-113.5333
Leavitt 2007,70,RLB5428,"USA: Arizona, Mohave Co.; Willow Creek; N 35.1667, W 113.5333",EU129600,X. vigilis,vigilis_EM,rocks,35.1667,-113.5333
Leavitt 2007,70,RLB5429,"USA: Arizona, Mohave Co.; Willow Creek; N 35.1667, W 113.5333",EU129601,X. vigilis,vigilis_EM,rocks,35.1667,-113.5333
Leavitt 2007,139,RLB5762,"USA: Arizona, Yavapai Co.; Date Creek Mts.; N 34.2333, W 112.95",EU129468,X. arizonae,arizonae,rocks,34.2333,-112.95
Leavitt 2007,139,RLB5766,"USA: Arizona, Yavapai Co.; Date Creek Mts.; N 34.2333, W 112.95",EU129469,X. arizonae,arizonae,rocks,34.2333,-112.95
Leavitt 2007,139,RLB5767,"USA: Arizona, Yavapai Co.; Date Creek Mts.; N 34.2333, W 112.95",EU129470,X. arizonae,arizonae,rocks,34.2333,-112.95
Leavitt 2007,139,RLB5768,"USA: Arizona, Yavapai Co.; Date Creek Mts.; N 34.2333, W 112.95",EU129471,X. arizonae,arizonae,rocks,34.2333,-112.95
Leavitt 2007,139,RLB5771,"USA: Arizona, Yavapai Co.; Date Creek Mts.; N 34.2333, W 112.95",EU129472,X. arizonae,arizonae,rocks,34.2333,-112.95
