paper,sample,museum,locale,genbank,species,OTU,morphology,LAT,LON
Leavitt 2007,111,DHL127,"USA: California, San Bernardino Co.; Pioneertown; N 34.165, W 116.5263",EU129911,Yucca Valley,vigilis_YV,plants,34.165,-116.5263
Leavitt 2007,111,DHL128,"USA: California, San Bernardino Co.; Pioneertown; N 34.165, W 116.5263",EU129912,Yucca Valley,vigilis_YV,plants,34.165,-116.5263
Leavitt 2007,111,DHL129,"USA: California, San Bernardino Co.; Pioneertown; N 34.165, W 116.5263",EU129926,Yucca Valley,vigilis_YV,plants,34.165,-116.5263
Leavitt 2007,14,DHL131,"USA: California, Los Angeles Co.; Hwy. 18 Aquaduct; N 34.4911, W 117.7132",EU129799,X. vigilis,vigilis_KCAV,plants,34.4911,-117.7132
Leavitt 2007,14,DHL132,"USA: California, Los Angeles Co.; Hwy. 18 Aquaduct; N 34.4911, W 117.7132",EU129800,X. vigilis,vigilis_KCAV,plants,34.4911,-117.7132
Leavitt 2007,14,DHL133,"USA: California, Los Angeles Co.; Hwy. 18 Aquaduct; N 34.4911, W 117.7132",EU129801,X. vigilis,vigilis_KCAV,plants,34.4911,-117.7132
Leavitt 2007,14,DHL134,"USA: California, Los Angeles Co.; Hwy. 18 Aquaduct; N 34.4911, W 117.7132",EU129790,X. vigilis,vigilis_KCAV,plants,34.4911,-117.7132
Leavitt 2007,14,DHL135,"USA: California, Los Angeles Co.; Hwy. 18 Aquaduct; N 34.4911, W 117.7132",EU129802,X. vigilis,vigilis_KCAV,plants,34.4911,-117.7132
Leavitt 2007,14,DHL136,"USA: California, Los Angeles Co.; Hwy. 18 Aquaduct; N 34.4911, W 117.7132",EU129803,X. vigilis,vigilis_KCAV,plants,34.4911,-117.7132
Leavitt 2007,10,DHL137,"USA: California, San Bernardino Co.; Lucerne Valley, Granite Mts.; N 34.5643, W 116.9756",EU129811,X. vigilis,vigilis_LV,plants,34.5643,-116.9756
Leavitt 2007,123,BYU48022,"USA: California, Riverside Co.; Pinyon Flats; N 33.5855, W 116.4587",EU129866,San Jacinto,vigilis_SJ,plants,33.5855,-116.4587
Leavitt 2007,123,BYU48023,"USA: California, Riverside Co.; Pinyon Flats; N 33.5855, W 116.4587",EU129867,San Jacinto,vigilis_SJ,plants,33.5855,-116.4587
Leavitt 2007,1,DHL148,"USA: California, San Diego Co.; Mason Valley; N 33.0042, W 116.4602",EU129647,Xantusia vigilis,NA,plants,33.0042,-116.4602
Leavitt 2007,81,RLB5761,"USA: Arizona, La Paz Co.; Harquahala Mts.; N 33.8167, W 113.3833",EU129653,X. vigilis,vigilis_EM,plants,33.8167,-113.3833
Leavitt 2007,81,RLB6062,"USA: Arizona, La Paz Co.; Harquahala Mts.; N 33.8167, W 113.3833",EU129654,X. vigilis,vigilis_EM,plants,33.8167,-113.3833
Leavitt 2007,81,RLB6063,"USA: Arizona, La Paz Co.; Harquahala Mts.; N 33.8167, W 113.3833",EU129659,X. vigilis,vigilis_EM,plants,33.8167,-113.3833
Leavitt 2007,81,RLB6065,"USA: Arizona, La Paz Co.; Harquahala Mts.; N 33.8167, W 113.3833",EU129655,X. vigilis,vigilis_EM,plants,33.8167,-113.3833
Leavitt 2007,81,RLB6069,"USA: Arizona, La Paz Co.; Harquahala Mts.; N 33.8167, W 113.3833",EU129656,X. vigilis,vigilis_EM,plants,33.8167,-113.3833
Leavitt 2007,11,DHL157,"USA: California, San Bernardino Co.; Hodge Road.; N 34.7326, W 117.1317",EU129810,X. vigilis,vigilis_LV,plants,34.7326,-117.1317
Leavitt 2007,11,DHL158,"USA: California, San Bernardino Co.; Hodge Road.; N 34.7326, W 117.1317",EU129807,X. vigilis,vigilis_LV,plants,34.7326,-117.1317
Leavitt 2007,11,DHL159,"USA: California, San Bernardino Co.; Hodge Road.; N 34.7326, W 117.1317",EU129829,X. vigilis,vigilis_LV,plants,34.7326,-117.1317
Leavitt 2007,11,DHL160,"USA: California, San Bernardino Co.; Hodge Road.; N 34.7326, W 117.1317",EU129808,X. vigilis,vigilis_LV,plants,34.7326,-117.1317
Leavitt 2007,4,DHL171,"USA: California, San Bernardino Co.; Lucerne Valley, Buena Vista Road.; N 34.4111, W 116.9986",EU129823,X. vigilis,vigilis_LV,plants,34.4111,-116.9986
Leavitt 2007,81,RLB6070,"USA: Arizona, La Paz Co.; Harquahala Mts.; N 33.8167, W 113.3833",EU129657,X. vigilis,vigilis_EM,plants,33.8167,-113.3833
Noonan et al 2013,vigilis 5518,LACM 138479,USA: California: Hesperia,EU116652,vigilis,vigilis_EM,plants,34.4310119,-117.3001276
Leavitt 2007,73,RLB6151,"USA: Arizona, Mohave Co.; McCraken Peak; N 34.45, W 113.7833",EU129578,X. vigilis,vigilis_EM,plants,34.45,-113.7833
Leavitt 2007,73,RLB6154,"USA: Arizona, Mohave Co.; McCraken Peak; N 34.45, W 113.7833",EU129607,X. vigilis,vigilis_EM,plants,34.45,-113.7833
Leavitt 2007,122,48025,"USA: California, Riverside Co.; Hwy. 74; N 33.6209, W 116.412",EU129863,San Jacinto,vigilis_SJ,plants,33.6209,-116.412
Leavitt 2007,122,BYU48024,"USA: California, Riverside Co.; Hwy. 74; N 33.6209, W 116.412",EU129868,San Jacinto,vigilis_SJ,plants,33.6209,-116.412
Leavitt 2007,104,DHL36,"USA: California, San Bernardino Co.; Sheep Hole Pass; N 34.2493, W 115.7227",EU129946,Yucca Valley,vigilis_YV,plants,34.2493,-115.7227
Leavitt 2007,104,DHL37,"USA: California, San Bernardino Co.; Sheep Hole Pass; N 34.2493, W 115.7227",NA,Yucca Valley,vigilis_YV,plants,34.2493,-115.7227
Leavitt 2007,73,RLB6155,"USA: Arizona, Mohave Co.; McCraken Peak; N 34.45, W 113.7833",EU129579,X. vigilis,vigilis_EM,plants,34.45,-113.7833
Leavitt 2007,73,RLB6156,"USA: Arizona, Mohave Co.; McCraken Peak; N 34.45, W 113.7833",EU129608,X. vigilis,vigilis_EM,plants,34.45,-113.7833
Leavitt 2007,73,RLB6157,"USA: Arizona, Mohave Co.; McCraken Peak; N 34.45, W 113.7833",EU129609,X. vigilis,vigilis_EM,plants,34.45,-113.7833
Sinclair et al 2004,24,LACM 145187,"McCraken Peak, U.S.A.: Arizona",AY584333,v. vigilis,vigilis_EM,plants,34.4513333,-113.7736667
Leavitt 2007,75,RLB5405,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129539,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB5409,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129570,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,99,DHL82,"USA: California, San Bernardino Co.; SW of Pisgah; N 34.6933, W 116.4892",EU129928,Yucca Valley,vigilis_YV,plants,34.6933,-116.4892
Leavitt 2007,99,DHL83,"USA: California, San Bernardino Co.; SW of Pisgah; N 34.6933, W 116.4892",EU129938,Yucca Valley,vigilis_YV,plants,34.6933,-116.4892
Leavitt 2007,94,DHL84,"USA: California, San Bernardino Co.; Lucerne Valley, Santa Fe Fire Road.; N 34.4218, W 116.8036",EU129929,Yucca Valley,vigilis_YV,plants,34.4218,-116.8036
Leavitt 2007,93,DHL85,"USA: California, San Bernardino Co.; Lucerne Valley, Foothill Road.; N 34.4286, W 116.8113",EU129930,Yucca Valley,vigilis_YV,plants,34.4286,-116.8113
Leavitt 2007,93,DHL86,"USA: California, San Bernardino Co.; Lucerne Valley, Foothill Road.; N 34.4286, W 116.8113",NA,Yucca Valley,vigilis_YV,plants,34.4286,-116.8113
Leavitt 2007,92,DHL87,"USA: California, San Bernardino Co.; Lucerne Valley, Hwy. 18; N 34.3797, W 116.8686",EU129918,Yucca Valley,vigilis_YV,plants,34.3797,-116.8686
Leavitt 2007,92,DHL88,"USA: California, San Bernardino Co.; Lucerne Valley, Hwy. 18; N 34.3797, W 116.8686",EU129919,Yucca Valley,vigilis_YV,plants,34.3797,-116.8686
Leavitt 2007,8,DHL89,"USA: California, San Bernardino Co.; Lucerne Valley, Ocotillo Way; N 34.4291, W 117.042",EU129819,X. vigilis,vigilis_LV,plants,34.4291,-117.042
Leavitt 2007,8,DHL90,"USA: California, San Bernardino Co.; Lucerne Valley, Ocotillo Way; N 34.4291, W 117.042",EU129826,X. vigilis,vigilis_LV,plants,34.4291,-117.042
Leavitt 2007,8,DHL91,"USA: California, San Bernardino Co.; Lucerne Valley, Ocotillo Way; N 34.4291, W 117.042",EU129827,X. vigilis,vigilis_LV,plants,34.4291,-117.042
Leavitt 2007,6,DHL92,"USA: California, San Bernardino Co.; Lucerne Valley, Railroad Road.; N 34.401, W 117.0204",EU129820,X. vigilis,vigilis_LV,plants,34.401,-117.0204
Leavitt 2007,6,DHL93,"USA: California, San Bernardino Co.; Lucerne Valley, Railroad Road.; N 34.401, W 117.0204",EU129821,X. vigilis,vigilis_LV,plants,34.401,-117.0204
Leavitt 2007,90,DHL94,"USA: California, San Bernardino Co.; Lucerne Valley, Custer Road; N 34.4093, W 116.9808",EU129920,Yucca Valley,vigilis_YV,plants,34.4093,-116.9808
Leavitt 2007,90,DHL95,"USA: California, San Bernardino Co.; Lucerne Valley, Custer Road; N 34.4093, W 116.9808",EU129921,Yucca Valley,vigilis_YV,plants,34.4093,-116.9808
Leavitt 2007,91,DHL96,"USA: California, San Bernardino Co.; Lucerne Valley, Emerald Road; N 34.004, W 116.9308",EU129922,Yucca Valley,vigilis_YV,plants,34.004,-116.9308
Leavitt 2007,91,DHL97,"USA: California, San Bernardino Co.; Lucerne Valley, Emerald Road; N 34.004, W 116.9308",EU129923,Yucca Valley,vigilis_YV,plants,34.004,-116.9308
Leavitt 2007,97,DHL98,"USA: California, San Bernardino Co.; NE of Ord Mt.; N 34.6977, W 116.7673",EU129933,Yucca Valley,vigilis_YV,plants,34.6977,-116.7673
Leavitt 2007,97,DHL99,"USA: California, San Bernardino Co.; NE of Ord Mt.; N 34.6977, W 116.7673",EU129934,Yucca Valley,vigilis_YV,plants,34.6977,-116.7673
Leavitt 2007,121,DHL140,"USA: California, Riverside Co.; Dunkel Spring; N 33.8979, W 116.7466",EU129900,San Jacinto,vigilis_SJ,plants,33.8979,-116.7466
Leavitt 2007,116,BYU48014,"SUSA: California, Riverside Co.; Snow Creek; N 33.8984, W 116.6795",EU129897,San Jacinto,vigilis_SJ,plants,33.8984,-116.6795
Noonan et al 2013,gilberti ZJ2,ENEPI 7701,Mexico: Baja California Sur: Victoria,EU116621,gilberti,gilberti,plants,24.03839,-110.37176
Sinclair et al 2004,73,ENEPI 7701,"Victoria, Mexico: Baja California Sur",AY584346,v. wigginsi,gilberti,plants,24.03839,-110.37176
Leavitt 2007,NA,ENEPI 7701,Mexico: Baja California Sur; Victoria,EU129463,X. gilberti,gilberti,plants,24.03839,-110.37176
Leavitt 2007,116,BYU48015,"SUSA: California, Riverside Co.; Snow Creek; N 33.8984, W 116.6795",EU129901,San Jacinto,vigilis_SJ,plants,33.8984,-116.6795
Leavitt 2007,117,BYU48010,"USA: California, Riverside Co.; Whitewater South; N 33.9073, W 116.442",EU129893,San Jacinto,vigilis_SJ,plants,33.9073,-116.442
Leavitt 2007,117,BYU48011,"USA: California, Riverside Co.; Whitewater South; N 33.9073, W 116.442",EU129894,San Jacinto,vigilis_SJ,plants,33.9073,-116.442
Leavitt 2007,117,BYU48012,"USA: California, Riverside Co.; Whitewater South; N 33.9073, W 116.442",EU129895,San Jacinto,vigilis_SJ,plants,33.9073,-116.442
Leavitt 2007,117,BYU48013,"USA: California, Riverside Co.; Whitewater South; N 33.9073, W 116.442",EU129896,San Jacinto,vigilis_SJ,plants,33.9073,-116.442
Leavitt 2007,117,DHL23,"USA: California, Riverside Co.; Whitewater South; N 33.9073, W 116.442",EU129892,San Jacinto,vigilis_SJ,plants,33.9073,-116.442
Noonan et al 2013,jaycolei  ZN2,ENEPI 7705,MX: Sonora: Desemboque,EU116641,jaycolei,jaycolei,plants,30.57197026,-113.0003113
Sinclair et al 2004,63,ENEPI 7705,"Desemboque, Mexico: Sonora",AY584359,v. vigilis,jaycolei,plants,30.57197026,-113.0003113
Leavitt 2007,155,ENEPI 7705,"Mexico: Sonora; Desemboque; N 29.5185, W 112.3613",EU129507,X. sonora,jaycolei,plants,29.5185,-112.3613
Leavitt 2007,120,BYU48026,"USA: California, Riverside Co.; Cabazon East; N 33.9245, W 116.7543",EU129890,San Jacinto,vigilis_SJ,plants,33.9245,-116.7543
Leavitt 2007,120,BYU48027,"USA: California, Riverside Co.; Cabazon East; N 33.9245, W 116.7543",EU129870,San Jacinto,vigilis_SJ,plants,33.9245,-116.7543
Sinclair et al 2004,71,ENEPI 7707,"Juanico, Mexico: Baja California Sur",AY584349,v. wigginsi,sherbrookei,plants,26.25672267,-112.4814607
Noonan et al 2013,sherbrookei XY1,ENEPI 7707,Mexico: Baja California Sur: La Poza Grande,EU116625,sherbrookei,sherbrookei,plants,26.25672267,-112.4814607
Leavitt 2007,120,BYU48028,"USA: California, Riverside Co.; Cabazon East; N 33.9245, W 116.7543",EU129891,San Jacinto,vigilis_SJ,plants,33.9245,-116.7543
Sinclair et al 2004,76,LACM 151494,"Whitewater, U.S.A.: California",AY584352,v. vigilis,vigilis_SJ,plants,33.92615194,-116.6348289
Sinclair et al 2004,72,ENEPI 7709,"Poza, Mexico: Baja California Sur",AY584345,v. wigginsi,sherbrookei,plants,32.49282577,-116.960542
Noonan et al 2013,sherbrookei ZF2,ENEPI 7709,Mexico: Baja California Sur: La Poza Grande,EU116626,sherbrookei,sherbrookei,plants,32.49282577,-116.960542
Leavitt 2007,NA,ENEPI 7709,Mexico: Baja California Sur; Poza,EU129462,X. magdalena,sherbrookei,plants,32.49282577,-116.960542
Leavitt 2007,118,RLB6672,"USA: California, Riverside Co.; Whitewater North; N 33.9267, W 116.712",EU129887,San Jacinto,vigilis_SJ,plants,33.9267,-116.712
Leavitt 2007,119,BYU46701,"USA: California, Riverside Co.; Cabazon Dinosaurs; N 33.9403, W 116.7819",EU129888,San Jacinto,vigilis_SJ,plants,33.9403,-116.7819
Leavitt 2007,119,BYU46702,"USA: California, Riverside Co.; Cabazon Dinosaurs; N 33.9403, W 116.7819",EU129889,San Jacinto,vigilis_SJ,plants,33.9403,-116.7819
Leavitt 2007,115,BYU48016,"USA: California, Riverside Co.; Mission Creek Road.; N 33.9968, W 116.5995",EU129902,San Jacinto,vigilis_SJ,plants,33.9968,-116.5995
Leavitt 2007,115,BYU48017,"USA: California, Riverside Co.; Mission Creek Road.; N 33.9968, W 116.5995",EU129898,San Jacinto,vigilis_SJ,plants,33.9968,-116.5995
Leavitt 2007,114,BYU48018,"USA: California, San Bernardino Co.; Morongo Valley; N 34.0946, W 116.5109",EU129884,San Jacinto,vigilis_SJ,plants,34.0946,-116.5109
Noonan et al 2013,riversiana 5502,GF 5502,USA: California: Santa Barbara Is.,EU129465,riversiana,riversiana,plants,33.47626548,-119.0365512
Noonan et al 2013,riversiana 5510,GF 5510,USA: California: Santa Barbara Is.,EU129466,riversiana,riversiana,plants,33.47626548,-119.0365512
Leavitt 2007,12,JWS1669,"USA: California, San Bernardino Co.; Hesperia; N 34.4333, W 117.3",EU129792,X. vigilis,vigilis_KCAV,plants,34.4333,-117.3
Leavitt 2007,12,JWS1674,"USA: California, San Bernardino Co.; Hesperia; N 34.4333, W 117.3",EU129783,X. vigilis,vigilis_KCAV,plants,34.4333,-117.3
Leavitt 2007,12,JWS1676,"USA: California, San Bernardino Co.; Hesperia; N 34.4333, W 117.3",EU129793,X. vigilis,vigilis_KCAV,plants,34.4333,-117.3
Noonan et al 2013,vigilis 1095,KU 220088,USA: California: Hard  Luck,EU116663,vigilis,vigilis_KCAV,plants,34.68747,-118.85265
Noonan et al 2013,vigilis 1096,KU 220089,USA: California: Hard Luck,EU116664,vigilis,vigilis_KCAV,plants,34.68747,-118.85265
Noonan et al 2013,vigilis 1097,KU 220090,USA: California: Hard Luck,EU116665,vigilis,vigilis_KCAV,plants,34.68747,-118.85265
Noonan et al 2013,riversiana Xri5221,LACM 125513,USA: California: San Nicolas Is.,EU129464,riversiana,riversiana,plants,33.223,-119.472
Sinclair et al 2004,83,LACM 125513,"San Nicolas Island, U.S.A.: California",AY584360,riversiana,riversiana,plants,33.223,-119.472
Sinclair et al 2004,45,LACM 129863,"Alpine Butte, U.S.A.: California",AY584276,v. vigilis,vigilis_KCAV,Rocks/plants,34.6322395,-117.8948407
Sinclair et al 2004,59,LACM 129865,"Rancheria Road, U.S.A.: California",AY584255,v. sierrae,sierra,Rocks,35.4585203,-118.8267202
Noonan et al 2013,sierrae TC43,LACM 129865,USA: California: Rancheria Rd.,EU129854,sierrae,sierra,rocks,35.4585203,-118.8267202
Sinclair et al 2004,57,LACM 129870,"Kern River (Isabella), U.S.A.: California",AY584254,v. vigilis,vigilis_KCAV,plants,35.6311735,-118.4965871
Sinclair et al 2004,56,LACM 129872,"Breckenridge, U.S.A.: California",AY584258,v. vigilis,vigilis_KCAV,plants,35.4543923,-118.6215136
Sinclair et al 2004,51,LACM 129875,"Tehachapi, U.S.A.: California",AY584257,v. vigilis,vigilis_KCAV,plants,35.2250811,-118.1780902
Sinclair et al 2004,58,LACM 129876,"Greenhorn Creek, U.S.A.: California",AY584256,v. vigilis,vigilis_KCAV,plants,35.2250811,-118.1780902
Sinclair et al 2004,55,LACM 129880,"Kern River (Tulare County), U.S.A.: California",AY584262,v. vigilis,vigilis_KCAV,plants,35.84163,-118.44899
Sinclair et al 2004,48,LACM 129882,"Fairview, U.S.A.: California",AY584253,v. vigilis,vigilis_KCAV,plants,35.9455,-118.47731
Sinclair et al 2004,79,LACM 134060,"Short Canyon, U.S.A.: California",AY584261,v. vigilis,vigilis_OV,plants,35.74711,-117.81257
Sinclair et al 2004,3,LACM 134481,"Sutton’s Summit, U.S.A.: Arizona",AY584277,v. arizonae,bezyi,Rocks,33.34302997,-110.9700962
Noonan et al 2013,bezyi 5321,LACM 134486,USA: Arizona: Sutton’s Summit,EU116613,bezyi,bezyi,rocks,33.34302997,-110.9700962
Sinclair et al 2004,3,LACM 134486,"Sutton’s Summit, U.S.A.: Arizona",AY584278,v. arizonae,bezyi,Rocks,33.34302997,-110.9700962
Noonan et al 2013,bezyi 5332,LACM 134498,USA: Arizona: Sunflower (1.3S),EU116616,bezyi,bezyi,rocks,33.8453445,-111.4676323
Sinclair et al 2004,9,LACM 134498,"Sunflower (1.3 S), U.S.A.: Arizona",AY584279,v. arizonae,bezyi,Rocks,33.8453445,-111.4676323
Sinclair et al 2004,9,LACM 134507,"Sunflower (1.3 S), U.S.A.: Arizona",AY584280,v. arizonae,bezyi,Rocks,33.8453265,-111.4683151
Sinclair et al 2004,11,LACM 134509,"Yarnell, U.S.A.: Arizona",AY584281,v. arizonae,arizonae,Rocks,34.2260677,-112.7430725
Sinclair et al 2004,11,LACM 134521,"Yarnell, U.S.A.: Arizona",AY584282,v. arizonae,arizonae,Rocks,34.2260677,-112.7430725
Sinclair et al 2004,11,LACM 134528,"Yarnell, U.S.A.: Arizona",AY584283,v. arizonae,arizonae,Rocks,34.22193653,-112.7471243
Leavitt 2007,75,RLB5410,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129540,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB5413,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129541,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB5414,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129542,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Sinclair et al 2004,61,LACM 134554,"Granite Station, U.S.A.: California",AY584287,v. sierrae,sierra,Rocks,35.6137373,-118.8583882
Sinclair et al 2004,61,LACM 134557,"Granite Station, U.S.A.: California",AY584288,v. sierrae,sierra,Rocks,35.6137373,-118.8583882
Noonan et al 2013,sierrae 5389,LACM 134557,USA: California: Granite Station,EU116640,sierrae,sierra,rocks,35.6137373,-118.8583882
Sinclair et al 2004,61,LACM 134564,"Granite Station, U.S.A.: California",AY584289,v. sierrae,sierra,Rocks,35.6137373,-118.8583882
Sinclair et al 2004,54,LACM 134575,"Kennedy Meadows, U.S.A.: California",AY584263,v. vigilis,vigilis_KCAV,plants,36.02064,-118.12466
Leavitt 2007,75,RLB5772,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129543,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB5775,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129544,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB5776,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129545,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB5780,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129546,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB6247,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129547,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Noonan et al 2013,vigilis 5459,LACM 135228,USA: Utah: Castle  Cliff,EU116651,vigilis,vigilis_KCAV,plants,37.066,-113.88584
Leavitt 2007,75,RLB6249,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129548,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Sinclair et al 2004,50,LACM 135374,"Red Rock Canyon, U.S.A.: California",AY584265,v. vigilis,vigilis_KCAV,plants,35.32559048,-117.948436
Leavitt 2007,75,RLB6250,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129549,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB6251,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129550,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Noonan et al 2013,henshawi Xhe5581,LACM 136781,USA: California: Banning,EU129458,henshawi,henshawi_3,rocks,33.89723,-116.86053
Sinclair et al 2004,43,LACM 136812,"Hesperia, U.S.A.: California",AY584271,v. vigilis,vigilis_KCAV,plants,34.4310119,-117.3001276
Sinclair et al 2004,47,LACM 137433,"Palmdale, U.S.A.: California",AY584297,v. vigilis,vigilis_KCAV,plants,34.6017522,-118.1202538
Sinclair et al 2004,52,LACM 137437,"Lockwood Valley, U.S.A.: California",AY584298,v. vigilis,vigilis_KCAV,plants,34.78299,-119.04547
Sinclair et al 2004,44,LACM 138253,"Phelan, U.S.A.: California",AY584266,v. vigilis,vigilis_KCAV,plants,34.49944,-117.64197
Noonan et al 2013,arizonae 5766,LACM 138270,USA: Arizona: Date Creek Mts.,EU129469,arizonae,arizonae,rocks,34.2261307,-112.9272549
Noonan et al 2013,arizonae 5771,LACM 138275,USA: Arizona: Date Creek Mts.,EU116608,arizonae,arizonae,rocks,34.2261307,-112.9272549
Sinclair et al 2004,12,LACM 138275,"Date Creek Mountains, U.S.A.: Arizona",AY584299,v. arizonae,arizonae,Rocks,34.2261307,-112.9272549
Noonan et al 2013,arizonae 5788,LACM 138292,USA: Arizona: Hillside (2.1N),EU116609,arizonae,arizonae,rocks,34.441409,-112.903006
Leavitt 2007,75,RLB6252,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129551,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB6253,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129552,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB6254,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129553,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB6255,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129554,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Leavitt 2007,75,RLB6257,"USA: Arizona, Mohave Co.; Nothing 1; N 34.4667, W 113.3333",EU129569,X. vigilis,vigilis_EM,plants,34.4667,-113.3333
Sinclair et al 2004,25,LACM 145170,"Poachie Mountains, U.S.A.: Arizona",AY584332,v. vigilis,vigilis_EM,plants,34.4741667,-113.4818333
Leavitt 2007,76,BYU48007,"USA: Arizona, Mohave Co.; Nothing 2; N 34.4766, W 113.3447",EU129555,X. vigilis,vigilis_EM,plants,34.4766,-113.3447
Leavitt 2007,76,BYU48008,"USA: Arizona, Mohave Co.; Nothing 2; N 34.4766, W 113.3447",EU129556,X. vigilis,vigilis_EM,plants,34.4766,-113.3447
Leavitt 2007,76,BYU48809,"USA: Arizona, Mohave Co.; Nothing 2; N 34.4766, W 113.3447",EU129557,X. vigilis,vigilis_EM,plants,34.4766,-113.3447
Noonan et al 2013,arizonae 5828,LACM 138847,USA: Arizona: Stanton,EU129477,arizonae,arizonae,rocks,34.16612064,-112.7294305
Sinclair et al 2004,10,LACM 138847,"Stanton, U.S.A.: Arizona",AY584305,v. arizonae,arizonae,Rocks,34.16612064,-112.7294305
Leavitt 2007,76,DHL4,"USA: Arizona, Mohave Co.; Nothing 2; N 34.4766, W 113.3447",EU129558,X. vigilis,vigilis_EM,plants,34.4766,-113.3447
Sinclair et al 2004,23,LACM 135185,"Nothing, U.S.A.: Arizona",AY584290,v. vigilis,vigilis_EM,plants,34.48107495,-113.3337809
Leavitt 2007,74,6124,"USA: Arizona, Mohave Co.; Poachie Mts.; N 34.4833, W 113.4833",EU129581,X. vigilis,vigilis_EM,plants,34.4833,-113.4833
Leavitt 2007,74,6125,"USA: Arizona, Mohave Co.; Poachie Mts.; N 34.4833, W 113.4833",EU129575,X. vigilis,vigilis_EM,plants,34.4833,-113.4833
Leavitt 2007,74,6129,"USA: Arizona, Mohave Co.; Poachie Mts.; N 34.4833, W 113.4833",EU129582,X. vigilis,vigilis_EM,plants,34.4833,-113.4833
Leavitt 2007,74,6135,"USA: Arizona, Mohave Co.; Poachie Mts.; N 34.4833, W 113.4833",EU129576,X. vigilis,vigilis_EM,plants,34.4833,-113.4833
Leavitt 2007,74,6140,"USA: Arizona, Mohave Co.; Poachie Mts.; N 34.4833, W 113.4833",EU129577,X. vigilis,vigilis_EM,plants,34.4833,-113.4833
Leavitt 2007,78,RLB5794,"USA: Arizona, Yavapai Co.; Water Peak; N 34.5333, W 113.2167",EU129564,X. vigilis,vigilis_EM,plants,34.5333,-113.2167
Leavitt 2007,78,RLB5795,"USA: Arizona, Yavapai Co.; Water Peak; N 34.5333, W 113.2167",EU129565,X. vigilis,vigilis_EM,plants,34.5333,-113.2167
Noonan et al 2013,arizonae 5953,LACM 139955,USA: Arizona: Mule Shoe,EU116610,arizonae,arizonae,rocks,34.47270985,-112.8906766
Sinclair et al 2004,14,LACM 139955,"Mule Shoe, U.S.A.: Arizona",AY584313,v. arizonae,arizonae,Rocks,34.47270985,-112.8906766
Noonan et al 2013,arizonae 5954,LACM 139956,USA: Arizona: Mule Shoe,EU116611,arizonae,arizonae,rocks,35.93166,-111.69737
Sinclair et al 2004,14,LACM 139958,"Mule Shoe, U.S.A.: Arizona",AY584314,v. arizonae,arizonae,Rocks,35.93166,-111.69737
Sinclair et al 2004,6,LACM 139961,"Blackbush Ranch, U.S.A.: Arizona",AY584316,v. arizonae,bezyi,Rocks/plants,33.67166372,-111.1615373
Sinclair et al 2004,5,LACM 139963,"Pinon Camp, U.S.A.: Arizona",AY584317,v. arizonae,bezyi,Rocks,33.42338,-111.37124
